"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R80","R_0402","76.327mm","25.8412mm","76.327mm","25.8412mm","75.827mm","25.8412mm","B","360.00",""
"R78","R_0402","83.4mm","4.8mm","83.4mm","4.8mm","82.9mm","4.8mm","T","360.00",""
"R77","R_0402","12.9712mm","42.1566mm","12.9712mm","42.1566mm","12.9712mm","42.6566mm","T","270.00",""
"R76","R_0402","32.475mm","75.625mm","32.475mm","75.625mm","32.975mm","75.625mm","T","180.00",""
"R75","R_0402","34.417mm","70.358mm","34.417mm","70.358mm","33.917mm","70.358mm","T","360.00",""
"R74","R_0402","11.5mm","44.7mm","11.5mm","44.7mm","11mm","44.7mm","T","360.00",""
"R73","R_0402","10.9982mm","50.165mm","10.9982mm","50.165mm","10.4982mm","50.165mm","T","360.00",""
"R72","R_0402","17.78mm","63.0936mm","17.78mm","63.0936mm","17.78mm","63.5936mm","T","270.00",""
"R71","R_0402","37.275mm","69.025mm","37.275mm","69.025mm","36.775mm","69.025mm","T","360.00",""
"R70","R_0402","30.3022mm","64.5668mm","30.3022mm","64.5668mm","30.8022mm","64.5668mm","B","180.00",""
"R69","R_0402","24.4856mm","64.5668mm","24.4856mm","64.5668mm","23.9856mm","64.5668mm","B","360.00",""
"R68","R_0402","26.924mm","64.5668mm","26.924mm","64.5668mm","26.424mm","64.5668mm","B","360.00",""
"R67","R_0402","29.3116mm","62.8904mm","29.3116mm","62.8904mm","28.8116mm","62.8904mm","B","360.00",""
"R66","R_0402","22.0726mm","62.8904mm","22.0726mm","62.8904mm","21.5726mm","62.8904mm","B","360.00",""
"R65","R_0402","44.7mm","61.35mm","44.7mm","61.35mm","44.7mm","61.85mm","T","270.00",""
"R64","R_0402","81mm","7mm","81mm","7mm","81mm","6.5mm","B","90.00",""
"R63","R_0402","37.225mm","67.65mm","37.225mm","67.65mm","36.725mm","67.65mm","T","360.00",""
"R62","R_0402","84.209mm","73.1266mm","84.209mm","73.1266mm","84.709mm","73.1266mm","T","180.00",""
"R61","R_0402","9.525mm","35.8648mm","9.525mm","35.8648mm","10.025mm","35.8648mm","B","180.00",""
"R60","R_0402","36.6mm","81.475mm","36.6mm","81.475mm","36.1mm","81.475mm","B","360.00",""
"R59","R_0402","14.732mm","39.5478mm","14.732mm","39.5478mm","14.732mm","40.0478mm","B","270.00",""
"R58","R_0402","15.367mm","37.338mm","15.367mm","37.338mm","15.367mm","37.838mm","B","270.00",""
"R57","R_0402","31.5468mm","78.105mm","31.5468mm","78.105mm","31.5468mm","77.605mm","B","90.00",""
"R56","R_0402","30.8102mm","80.391mm","30.8102mm","80.391mm","30.8102mm","79.891mm","B","90.00",""
"R55","R_0402","15.5194mm","41.7322mm","15.5194mm","41.7322mm","15.5194mm","41.2322mm","B","90.00",""
"R54","R_0402","11.0918mm","45.72mm","11.0918mm","45.72mm","11.5918mm","45.72mm","B","180.00",""
"R53","R_0402","30.8102mm","75.8444mm","30.8102mm","75.8444mm","30.8102mm","76.3444mm","B","270.00",""
"R52","R_0402","35.2298mm","71.8058mm","35.2298mm","71.8058mm","34.7298mm","71.8058mm","B","360.00",""
"R51","R_0402","42.525mm","29.475mm","42.525mm","29.475mm","43.025mm","29.475mm","T","180.00",""
"R50","R_0402","13mm","24.2mm","13mm","24.2mm","13mm","23.7mm","T","90.00",""
"R49","R_0402","68.58mm","88.4428mm","68.58mm","88.4428mm","69.08mm","88.4428mm","B","180.00",""
"R47","R_0402","12.875mm","28.55mm","12.875mm","28.55mm","12.875mm","29.05mm","T","270.00",""
